PN;T0;M;X1;X2;X3;V1;V2;V3;XR;V;Error
P 2;  2.3000000E+02;  1.9890000E+30;  3.8331462E+11;  4.8490187E+03;  0.0000000E+00; -2.4078021E+09; -3.0649431E+01;  0.0000000E+00;  3.8331462E+11;  2.4078021E+09;  0.0000000E+00
P 1;  2.3500000E+02;  1.9890000E+30; -3.6864882E+11; -4.6625441E+03;  0.0000000E+00;  3.2880381E+09;  4.1783607E+01;  0.0000000E+00;  3.6864882E+11;  3.2880381E+09;  0.0000000E+00
P 2;  2.3500000E+02;  1.9890000E+30;  3.6864882E+11;  4.6625441E+03;  0.0000000E+00; -3.2880381E+09; -4.1783607E+01;  0.0000000E+00;  3.6864882E+11;  3.2880381E+09;  0.0000000E+00
P 1;  2.4000000E+02;  1.9890000E+30; -3.4946540E+11; -4.4189330E+03;  0.0000000E+00;  4.2091152E+09;  5.3431918E+01;  0.0000000E+00;  3.4946540E+11;  4.2091152E+09;  0.0000000E+00
P 2;  2.4000000E+02;  1.9890000E+30;  3.4946540E+11;  4.4189330E+03;  0.0000000E+00; -4.2091152E+09; -5.3431918E+01;  0.0000000E+00;  3.4946540E+11;  4.2091152E+09;  0.0000000E+00
P 1;  2.4500000E+02;  1.9890000E+30; -3.2551072E+11; -4.1149911E+03;  0.0000000E+00;  5.1882370E+09;  6.5811366E+01;  0.0000000E+00;  3.2551072E+11;  5.1882370E+09;  0.0000000E+00
P 2;  2.4500000E+02;  1.9890000E+30;  3.2551072E+11;  4.1149911E+03;  0.0000000E+00; -5.1882370E+09; -6.5811366E+01;  0.0000000E+00;  3.2551072E+11;  5.1882370E+09;  0.0000000E+00
P 1;  2.5000000E+02;  1.9890000E+30; -3.2551072E+11; -4.1149911E+03;  0.0000000E+00;  5.1882370E+09;  6.5811366E+01;  0.0000000E+00;  3.2551072E+11;  5.1882370E+09;  0.0000000E+00
P 2;  2.5000000E+02;  1.9890000E+30;  3.2551072E+11;  4.1149911E+03;  0.0000000E+00; -5.1882370E+09; -6.5811366E+01;  0.0000000E+00;  3.2551072E+11;  5.1882370E+09;  0.0000000E+00
P 1;  2.5000000E+02;  1.9890000E+30; -2.9642536E+11; -3.7461903E+03;  0.0000000E+00;  6.2497575E+09;  7.9228968E+01;  0.0000000E+00;  2.9642536E+11;  6.2497575E+09;  0.0000000E+00
P 2;  2.5000000E+02;  1.9890000E+30;  2.9642536E+11;  3.7461903E+03;  0.0000000E+00; -6.2497575E+09; -7.9228968E+01;  0.0000000E+00;  2.9642536E+11;  6.2497575E+09;  0.0000000E+00
P 1;  2.5500000E+02;  1.9890000E+30; -2.6169239E+11; -3.3060177E+03;  0.0000000E+00;  7.4310737E+09;  9.4155885E+01;  0.0000000E+00;  2.6169239E+11;  7.4310737E+09;  0.0000000E+00
P 2;  2.5500000E+02;  1.9890000E+30;  2.6169239E+11;  3.3060177E+03;  0.0000000E+00; -7.4310737E+09; -9.4155885E+01;  0.0000000E+00;  2.6169239E+11;  7.4310737E+09;  0.0000000E+00
P 1;  2.6000000E+02;  1.9890000E+30; -2.2053731E+11; -2.7847165E+03;  0.0000000E+00;  8.7958276E+09;  1.1139340E+02;  0.0000000E+00;  2.2053731E+11;  8.7958276E+09;  0.0000000E+00
P 2;  2.6000000E+02;  1.9890000E+30;  2.2053731E+11;  2.7847165E+03;  0.0000000E+00; -8.7958276E+09; -1.1139340E+02;  0.0000000E+00;  2.2053731E+11;  8.7958276E+09;  0.0000000E+00
P 1;  2.6500000E+02;  1.9890000E+30; -1.7170579E+11; -2.1664920E+03;  0.0000000E+00;  1.0469515E+10;  1.3252018E+02;  0.0000000E+00;  1.7170579E+11;  1.0469515E+10;  0.0000000E+00
P 2;  2.6500000E+02;  1.9890000E+30;  1.7170579E+11;  2.1664920E+03;  0.0000000E+00; -1.0469515E+10; -1.3252018E+02;  0.0000000E+00;  1.7170579E+11;  1.0469515E+10;  0.0000000E+00
P 1;  2.7000000E+02;  1.9890000E+30; -1.1283974E+11; -1.4216773E+03;  0.0000000E+00;  1.2770228E+10;  1.6153187E+02;  0.0000000E+00;  1.1283974E+11;  1.2770228E+10;  0.0000000E+00
P 2;  2.7000000E+02;  1.9890000E+30;  1.1283974E+11;  1.4216773E+03;  0.0000000E+00; -1.2770228E+10; -1.6153187E+02;  0.0000000E+00;  1.1283974E+11;  1.2770228E+10;  0.0000000E+00
P 1;  2.7500000E+02;  1.9890000E+30; -3.7484304E+10; -4.6927132E+02;  0.0000000E+00;  1.7206713E+10;  2.1730517E+02;  0.0000000E+00;  3.7484304E+10;  1.7206713E+10;  0.0000000E+00
P 2;  2.7500000E+02;  1.9890000E+30;  3.7484304E+10;  4.6927132E+02;  0.0000000E+00; -1.7206713E+10; -2.1730517E+02;  0.0000000E+00;  3.7484304E+10;  1.7206713E+10;  0.0000000E+00
P 1;  2.8000000E+02;  1.9890000E+30;  5.5203291E+10;  6.8767324E+02;  0.0000000E+00;  1.4663913E+10;  1.8187704E+02;  0.0000000E+00;  5.5203291E+10;  1.4663913E+10;  0.0000000E+00
P 2;  2.8000000E+02;  1.9890000E+30; -5.5203291E+10; -6.8767324E+02;  0.0000000E+00; -1.4663913E+10; -1.8187704E+02;  0.0000000E+00;  5.5203291E+10;  1.4663913E+10;  0.0000000E+00
P 1;  2.8500000E+02;  1.9890000E+30;  1.1473075E+11;  1.4254185E+03;  0.0000000E+00;  1.0501239E+10;  1.3009142E+02;  0.0000000E+00;  1.1473075E+11;  1.0501239E+10;  0.0000000E+00
P 2;  2.8500000E+02;  1.9890000E+30; -1.1473075E+11; -1.4254185E+03;  0.0000000E+00; -1.0501239E+10; -1.3009142E+02;  0.0000000E+00;  1.1473075E+11;  1.0501239E+10;  0.0000000E+00
P 1;  2.9000000E+02;  1.9890000E+30;  1.5949553E+11;  1.9797267E+03;  0.0000000E+00;  8.0353019E+09;  9.9468164E+01;  0.0000000E+00;  1.5949553E+11;  8.0353019E+09;  0.0000000E+00
